,0,1,2,3,4,5,6,7
#,1(1),2(2),3(3),4(4),5(5),6(6),7(7),8(8)
 BLOCKED#7#7,0,0,0,0,0,0,0,0
 BLOCKED#7#6,0,0,0,0,0,0,0,0
 BLOCKED#7#5,0,0,0,0,0,0,0,0
 BLOCKED#7#4,0,0,0,0,0,0,0,0
 BLOCKED#7#3,0,0,0,0,0,0,0,0
 BLOCKED#7#2,0,0,0,0,0,0,0,0
 BLOCKED#7#1,0,0,0,0,0,0,0,0
 BLOCKED#7#0,0,0,0,0,0,0,0,0
 BLOCKED#6#7,0,0,0,0,0,0,0,0
 BLOCKED#6#6,0,0,0,0,0,0,0,0
 BLOCKED#6#5,0,0,0,0,0,0,0,0
 BLOCKED#6#4,0,0,0,0,1,0,0,1
 BLOCKED#6#3,0,1,0,1,0,0,0,0
 BLOCKED#6#2,0,0,0,0,0,0,0,0
 BLOCKED#6#1,0,0,0,0,0,0,0,0
 BLOCKED#6#0,0,0,0,0,0,0,0,0
 BLOCKED#5#7,0,0,0,0,0,0,0,0
 BLOCKED#5#6,0,0,0,0,0,0,0,0
 BLOCKED#5#5,0,0,0,0,0,0,0,0
 BLOCKED#5#4,0,0,0,0,0,0,0,0
 BLOCKED#5#3,0,0,0,0,0,0,0,0
 BLOCKED#5#2,0,0,0,0,0,0,0,0
 BLOCKED#5#1,0,0,0,0,0,0,0,0
 BLOCKED#5#0,0,0,0,0,0,0,0,0
 BLOCKED#4#7,0,0,0,0,0,0,0,0
 BLOCKED#4#6,1,0,0,1,0,0,0,0
 BLOCKED#4#5,0,0,0,0,0,0,0,0
 BLOCKED#4#4,0,1,0,0,0,1,0,0
 BLOCKED#4#3,0,0,1,0,1,0,0,0
 BLOCKED#4#2,0,0,0,0,0,0,0,0
 BLOCKED#4#1,0,0,0,0,0,0,1,1
 BLOCKED#4#0,0,0,0,0,0,0,0,0
 BLOCKED#3#7,0,0,0,0,0,0,0,0
 BLOCKED#3#6,0,0,0,0,1,1,0,0
 BLOCKED#3#5,0,0,0,0,0,0,0,0
 BLOCKED#3#4,0,0,0,1,0,0,1,0
 BLOCKED#3#3,1,0,0,0,0,0,0,1
 BLOCKED#3#2,0,0,0,0,0,0,0,0
 BLOCKED#3#1,0,1,1,0,0,0,0,0
 BLOCKED#3#0,0,0,0,0,0,0,0,0
 BLOCKED#2#7,0,0,0,0,0,0,0,0
 BLOCKED#2#6,0,0,0,0,0,0,0,0
 BLOCKED#2#5,0,0,0,0,0,0,0,0
 BLOCKED#2#4,0,0,0,0,0,0,0,0
 BLOCKED#2#3,0,0,0,0,0,0,0,0
 BLOCKED#2#2,0,0,0,0,0,0,0,0
 BLOCKED#2#1,0,0,0,0,0,0,0,0
 BLOCKED#2#0,0,0,0,0,0,0,0,0
 BLOCKED#1#7,0,0,0,0,0,0,0,0
 BLOCKED#1#6,0,0,0,0,0,0,0,0
 BLOCKED#1#5,0,0,0,0,0,0,0,0
 BLOCKED#1#4,1,0,1,0,0,0,0,0
 BLOCKED#1#3,0,0,0,0,0,1,1,0
 BLOCKED#1#2,0,0,0,0,0,0,0,0
 BLOCKED#1#1,0,0,0,0,0,0,0,0
 BLOCKED#1#0,0,0,0,0,0,0,0,0
 BLOCKED#0#7,0,0,0,0,0,0,0,0
 BLOCKED#0#6,0,0,0,0,0,0,0,0
 BLOCKED#0#5,0,0,0,0,0,0,0,0
 BLOCKED#0#4,0,0,0,0,0,0,0,0
 BLOCKED#0#3,0,0,0,0,0,0,0,0
 BLOCKED#0#2,0,0,0,0,0,0,0,0
 BLOCKED#0#1,0,0,0,0,0,0,0,0
 BLOCKED#0#0,0,0,0,0,0,0,0,0
 QUEEN#7#7,0,0,0,0,0,0,0,0
 QUEEN#7#6,0,0,0,0,0,0,0,0
 QUEEN#7#5,0,0,0,0,0,0,0,0
 QUEEN#7#4,0,0,0,0,1,1,1,1
 QUEEN#7#3,1,1,1,1,0,0,0,0
 QUEEN#7#2,0,0,0,0,0,0,0,0
 QUEEN#7#1,0,0,0,0,0,0,0,0
 QUEEN#7#0,0,0,0,0,0,0,0,0
 QUEEN#6#7,0,0,0,0,0,0,0,0
 QUEEN#6#6,1,1,0,1,1,1,0,1
 QUEEN#6#5,0,0,0,0,0,0,0,0
 QUEEN#6#4,0,0,0,0,0,0,0,0
 QUEEN#6#3,0,0,0,0,0,0,0,0
 QUEEN#6#2,0,0,0,0,0,0,0,0
 QUEEN#6#1,0,1,1,1,1,0,1,1
 QUEEN#6#0,0,0,0,0,0,0,0,0
 QUEEN#5#7,0,0,0,0,0,0,0,0
 QUEEN#5#6,0,0,0,0,0,0,0,0
 QUEEN#5#5,0,0,0,0,0,0,0,0
 QUEEN#5#4,1,1,1,1,0,0,0,0
 QUEEN#5#3,0,0,0,0,1,1,1,1
 QUEEN#5#2,0,0,0,0,0,0,0,0
 QUEEN#5#1,0,0,0,0,0,0,0,0
 QUEEN#5#0,0,0,0,0,0,0,0,0
 QUEEN#4#7,1,1,1,1,0,0,0,0
 QUEEN#4#6,0,0,0,0,0,0,0,0
 QUEEN#4#5,0,0,0,0,1,1,1,1
 QUEEN#4#4,0,0,0,0,0,0,0,0
 QUEEN#4#3,0,0,0,0,0,0,0,0
 QUEEN#4#2,1,1,1,1,0,0,0,0
 QUEEN#4#1,0,0,0,0,0,0,0,0
 QUEEN#4#0,0,0,0,0,1,1,1,1
 QUEEN#3#7,0,0,0,0,1,1,1,1
 QUEEN#3#6,0,0,0,0,0,0,0,0
 QUEEN#3#5,1,1,1,1,0,0,0,0
 QUEEN#3#4,0,0,0,0,0,0,0,0
 QUEEN#3#3,0,0,0,0,0,0,0,0
 QUEEN#3#2,0,0,0,0,1,1,1,1
 QUEEN#3#1,0,0,0,0,0,0,0,0
 QUEEN#3#0,1,1,1,1,0,0,0,0
 QUEEN#2#7,0,0,0,0,0,0,0,0
 QUEEN#2#6,0,0,0,0,0,0,0,0
 QUEEN#2#5,0,0,0,0,0,0,0,0
 QUEEN#2#4,0,0,0,0,1,1,1,1
 QUEEN#2#3,1,1,1,1,0,0,0,0
 QUEEN#2#2,0,0,0,0,0,0,0,0
 QUEEN#2#1,0,0,0,0,0,0,0,0
 QUEEN#2#0,0,0,0,0,0,0,0,0
 QUEEN#1#7,0,0,0,0,0,0,0,0
 QUEEN#1#6,1,0,1,1,1,1,1,0
 QUEEN#1#5,0,0,0,0,0,0,0,0
 QUEEN#1#4,0,0,0,0,0,0,0,0
 QUEEN#1#3,0,0,0,0,0,0,0,0
 QUEEN#1#2,0,0,0,0,0,0,0,0
 QUEEN#1#1,1,1,1,0,0,1,1,1
 QUEEN#1#0,0,0,0,0,0,0,0,0
 QUEEN#0#7,0,0,0,0,0,0,0,0
 QUEEN#0#6,0,0,0,0,0,0,0,0
 QUEEN#0#5,0,0,0,0,0,0,0,0
 QUEEN#0#4,1,1,1,1,0,0,0,0
 QUEEN#0#3,0,0,0,0,1,1,1,1
 QUEEN#0#2,0,0,0,0,0,0,0,0
 QUEEN#0#1,0,0,0,0,0,0,0,0
 QUEEN#0#0,0,0,0,0,0,0,0,0
 objval,3,3,3,3,3,3,3,3
